id,groupname,grouptype,membername,status,notes
31,All RMs,Products,RM_0002,"",""
32,All RMs,Products,Pack_Style_1,"",""
33,All RMs,Products,Pack_Style_2,"",""
34,All RMs,Products,Water_1,"",""
35,All RMs,Products,Water_2,"",""
36,Finished Goods,Products,FG_0001,"",""
37,Finished Goods,Products,FG_0002,"",""
38,All RMs,Products,RM_0001,"",""
39,MFGs,Facilities,MFG_Shanghai,"",""
40,MFGs,Facilities,MFG_Chengdu,"",""
41,MFGs,Facilities,MFG_Ho Chi Minh,"",""
42,MFGs,Facilities,MFG_Belo Horizonte,"",""
43,High Emission MFGs,Facilities,MFG_Shanghai,"",""
44,High Emission MFGs,Facilities,MFG_Chengdu,"",""
45,Low Emission MFGs,Facilities,MFG_Ho Chi Minh,"",""
46,Low Emission MFGs,Facilities,MFG_Belo Horizonte,"",""
47,High Emission MFGs,Facilities,MFG_Overflow,"",""
48,Low Emission MFGs,Facilities,MFG_Overflow,"",""
49,Shanghai,Facilities,MFG_Shanghai,"",""
50,Chengdu,Facilities,MFG_Chengdu,"",""
52,Belo Horizonte,Facilities,MFG_Belo Horizonte,"",""
53,Shanghai,Facilities,MFG_Overflow,"",""
54,Chengdu,Facilities,MFG_Overflow,"",""
56,Belo Horizonte,Facilities,MFG_Overflow,"",""
51,Ho Chi Minh,Facilities,MFG_Ho Chi Minh,"",""
55,Ho Chi Minh,Facilities,MFG_Overflow,"",""
