id,option,status,value,technology,description,datatype,uidisplayname,uidisplaycategory,uidisplayorder
8,WriteLP,Include,False,[NEO],Write .lp file,"[True, False]",Write LP File,Basic,11
1,LaneCreationRule,Include,Transportation Policy Lanes Only,[NEO],"Transportation Policy Lanes Only will look only at Origin-Destination pairings defined in the Transportation Policies table, Sourcing Policy Lanes Only will look only at Origin-Destination pairings defined in the Procurement / Replenishment / Customer Fulfillment Policies, Intersection will create lanes for Origin-Destination pairs that overlap between the Transportation Policies and the Sourcing Policies, Union will create lanes for any Origin-Destination pairing that exists in either the Transportation Policies or the Sourcing Policies","[Transportation Policy Lanes Only, Sourcing Policy Lanes Only, Intersection, Union]",Lane Creation Rule,Basic,1
38,MaxNumberOfSourcesToConsiderForCustomers,Include,"",[NEO],"Each Customer will only consider the specified number of sources, evaluating the sources based on distance to the Customer.",int,Max Number Of Sources To Consider For Customers,Basic,2
39,MaxNumberOfSourcesToConsiderForFacilities,Include,"",[NEO],"Each Facility will only consider the specified number of sources, evaluating the sources based on distance to the Facility.",int,Max Number Of Sources To Consider For Facilities,Basic,3
42,ApplyMaxNumberOfSourcesByLocationOnly,Include,False,[NEO],"This will determine if the specified Max Number Of Sources To Consider are applied at the Location only, or if they are applied over inbound lanes for all Product, Mode, Period combinations at the Location.","[True, False]",Apply Max Number Of Sources By Location Only,Basic,4
3,SolveTimeLimit,Include,"",[NEO],Time limit for the solver measured in seconds,double,Solve Time Limit (Minutes),Basic,6
4,MIPGapRelative,Include,0.0001,[NEO],Solver terminates when gap is less than MIPGap,double,MIP Relative Gap Percentage,Basic,7
5,FeasibilityTolerance,Include,1e-06,[NEO],All constraints must be satisfied to a tolerance of FeasibilityTol,double,Feasibility Tolerance,Basic,8
6,AllowCrossPeriod,Include,False,[NEO],Set to True when running a cross period model,"[True, False]",Allow Cross Period Flows,Basic,9
7,OpenCloseAtMostOnce,Include,True,[NEO],Toggles whether or not Facilities/WorkCenters can be closed at most once or an unlimited number of times,"[True, False]",Open Close At Most Once,Basic,10
9,NumberOfReplications,Include,1,[THROG],The number of replications the simulation will run,int,Number Of Replications,Basic,12
20,WriteInputSolver,Include,False,[NEO],Writes the input solver layer of the tables as .csv files.,"[True, False]",Write Input Solver,Basic,13
34,RelativeConstraintTolerance,Include,0.02,[NEO],The constraint relaxation to be applied on constraints of type 'Fixed With Tolerance',double,Relative Constraint Tolerance,Basic,14
35,NEOSolverVersion,Include,"",[NEO],"To run models using a non-default solver version, the custom NEO version number can be specified here",String,NEO Solver Version,Advanced,15
36,THROGSolverVersion,Include,"",[THROG],"To run models using a non-default solver version, the custom THROG version number can be specified here",String,THROG Solver Version,Advanced,16
37,DARTSolverVersion,Include,"",[DART],"To run models using a non-default solver version, the custom DART version number can be specified here",String,DART Solver Version,Advanced,17
40,InventoryReporting,Include,End Of Day And All Changes,[THROG],Control which inventory outputs are printed. End Of Day will print an output record at the end of each day for all Facility / Product combinations. All Changes will print a record any time the inventory level changes for a Facility / Product combination.,"[End Of Day Only, All Changes Only, End Of Day And All Changes, None]",Inventory Reporting,Basic,22
43,OrderReport,Include,True,[THROG],Print order report data,"[True, False]",Print Order Report,Basic,23
44,ShipmentReport,Include,True,[THROG],Print shipment report data,"[True, False]",Print Shipment Report,Basic,24
45,ProcessReport,Include,True,[THROG],Print process report data,"[True, False]",Print Process Report,Basic,25
46,ProductionReport,Include,True,[THROG],Print production report data,"[True, False]",Print Production Report,Basic,26
47,WorkCenterThroughputReport,Include,False,[THROG],Print work center throughput report,"[True, False]",Print Work Center Throughput Report,Basic,28
48,FailedSourcingReport,Include,False,[THROG],Print failed sourcing report,"[True, False]",Print Failed Sourcing Report,Basic,29
