id,facilityname,productname,simulationpolicy,lotsize,lotsizeuom,status,productionrate,ratequantityuom,ratetimeuom,unitcost,unitcostuom,bomname,processname,notes
17,MFG_Chengdu,RM_0001,"","","",Include,"","","","","","","",""
18,MFG_Shanghai,RM_0001,"","","",Include,"","","","","","","",""
19,MFG_Ho Chi Minh,RM_0001,"","","",Include,"","","","","","","",""
20,MFG_Belo Horizonte,RM_0001,"","","",Include,"","","","","","","",""
21,MFG_Chengdu,RM_0002,"","","",Include,"","","","","","","",""
22,MFG_Shanghai,RM_0002,"","","",Include,"","","","","","","",""
23,MFG_Ho Chi Minh,RM_0002,"","","",Include,"","","","","","","",""
24,MFG_Belo Horizonte,RM_0002,"","","",Include,"","","","","","","",""
25,MFG_Chengdu,Pack_Style_1,"","","",Include,"","","","","","","",""
26,MFG_Shanghai,Pack_Style_1,"","","",Include,"","","","","","","",""
27,MFG_Ho Chi Minh,Pack_Style_1,"","","",Include,"","","","","","","",""
28,MFG_Belo Horizonte,Pack_Style_1,"","","",Include,"","","","","","","",""
29,MFG_Chengdu,Pack_Style_2,"","","",Include,"","","","","","","",""
30,MFG_Shanghai,Pack_Style_2,"","","",Include,"","","","","","","",""
31,MFG_Ho Chi Minh,Pack_Style_2,"","","",Include,"","","","","","","",""
32,MFG_Belo Horizonte,Pack_Style_2,"","","",Include,"","","","","","","",""
33,MFG_Chengdu,Water_1,"","","",Include,"","","","","","","",""
34,MFG_Shanghai,Water_1,"","","",Include,"","","","","","","",""
35,MFG_Ho Chi Minh,Water_1,"","","",Include,"","","","","","","",""
36,MFG_Belo Horizonte,Water_1,"","","",Include,"","","","","","","",""
37,MFG_Chengdu,Water_2,"","","",Include,"","","","","","","",""
38,MFG_Shanghai,Water_2,"","","",Include,"","","","","","","",""
39,MFG_Ho Chi Minh,Water_2,"","","",Include,"","","","","","","",""
40,MFG_Belo Horizonte,Water_2,"","","",Include,"","","","","","","",""
9,MFG_Chengdu,FG_0001,"","","",Include,"","","",3400,"",BOM_FG_0001,"",""
10,MFG_Shanghai,FG_0001,"","","",Include,"","","",3400,"",BOM_FG_0001,"",""
11,MFG_Ho Chi Minh,FG_0001,"","","",Include,"","","",4000,"",BOM_FG_0001,"",""
12,MFG_Belo Horizonte,FG_0001,"","","",Include,"","","",4000,"",BOM_FG_0001,"",""
15,MFG_Ho Chi Minh,FG_0002,"","","",Include,"","","",5000,"",BOM_FG_0002,"",""
16,MFG_Belo Horizonte,FG_0002,"","","",Include,"","","",5000,"",BOM_FG_0002,"",""
13,MFG_Chengdu,FG_0002,"","","",Include,"","","",4250,"",BOM_FG_0002,"",""
14,MFG_Shanghai,FG_0002,"","","",Include,"","","",4250,"",BOM_FG_0002,"",""
