id,originname,destinationname,productname,modename,optimizationpolicy,optimizationpolicyvalue,simulationpolicy,simulationpolicyvalue,status,unitcost,unitcostuom,fixedcost,fixedcostrule,averageshipmentsize,averageshipmentsizeuom,productnamegroupbehavior,dutyrate,lanecapacity,lanecapacityuom,lanecapacityperiod,lanecapacityperioduom,lanemodecapacity,lanemodecapacityuom,lanemodecapacityperiod,lanemodecapacityperioduom,loadprocessname,unloadprocessname,inventoryownership,inventorycarryingcostpercentage,transportdistance,transportdistanceuom,transporttime,transporttimeuom,notes
1,MFG_Chengdu,Port_Hong Kong,"",FTL,"","","","","",1.5,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
2,MFG_Shanghai,Port_Hong Kong,"",FTL,"","","","","",1.5,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
3,MFG_Ho Chi Minh,Port_Kuala Lumpur,"",FTL,"","","","","",1.5,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
4,MFG_Belo Horizonte,Port_Recife,"",FTL,"","","","","",1.5,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
5,Port_Hong Kong,Port_Long Beach,"",Ocean,"","","","","",0.05,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
6,Port_Kuala Lumpur,Port_Long Beach,"",Ocean,"","","","","",0.05,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
7,Port_Recife,Port_Boston,"",Ocean,"","","","","",0.05,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
8,Port_Long Beach,DC_Detroit,"",FTL,"","","","","",1.5,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
9,Port_Boston,DC_Detroit,"",FTL,"","","","","",1.5,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
10,DC_Detroit,CZ_Seattle,"",LTL,"","","","","",2,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
11,DC_Detroit,CZ_Pittsburgh,"",LTL,"","","","","",2,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
12,DC_Detroit,CZ_Raleigh,"",LTL,"","","","","",2,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
13,DC_Detroit,CZ_Atlanta,"",LTL,"","","","","",2,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
14,DC_Detroit,CZ_Salt Lake City,"",LTL,"","","","","",2,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
15,DC_Detroit,CZ_Fresno,"",LTL,"","","","","",2,EA-MI,"","","","","","","","","","","","","","","","","","","","","","",""
