id,variablename,termname,status,coefficient,type,uom,facilityname,facilitynamegroupbehavior,originname,originnamegroupbehavior,destinationname,destinationnamegroupbehavior,productname,productnamegroupbehavior,modename,modenamegroupbehavior,workcentername,workcenternamegroupbehavior,bomname,bomnamegroupbehavior,processname,processnamegroupbehavior,periodname,periodnamegroupbehavior,countingrule,notes,consideredinventory
330,FGProductionEmissions,FGProductionEmissions0001,Include,8,Production,EA,High Emission MFGs,"","",Aggregate,"","","","","","","","","","","","","","","",China Only scenario,
331,FGProductionEmissions,FGProductionEmissions0002,Include,4,Production,EA,Low Emission MFGs,"","",Aggregate,"","","","","","","","","","","","","","","",Brazil and Vietnam Only scenario,
332,FGProductionEmissions,FGProductionEmissions0003,Include,6,Production,EA,MFGs,"","",Aggregate,"","","","","","","","","","","","","","","",Scenario 3,
333,FGTransportEmissions,FGTransportEmissions0001,Include,21.129512341834047,Flow,EA,"","",DC_Detroit,Aggregate,CZ_Seattle,Aggregate,"",Aggregate,LTL,"","","","","","","","","","",3. All 4 MFGs,
334,FGTransportEmissions,FGTransportEmissions0002,Include,2.2439797890230895,Flow,EA,"","",DC_Detroit,Aggregate,CZ_Pittsburgh,Aggregate,"",Aggregate,LTL,"","","","","","","","","","",3. All 4 MFGs,
335,FGTransportEmissions,FGTransportEmissions0003,Include,5.580103948229036,Flow,EA,"","",DC_Detroit,Aggregate,CZ_Raleigh,Aggregate,"",Aggregate,LTL,"","","","","","","","","","",3. All 4 MFGs,
336,FGTransportEmissions,FGTransportEmissions0004,Include,6.53064033038515,Flow,EA,"","",DC_Detroit,Aggregate,CZ_Atlanta,Aggregate,"",Aggregate,LTL,"","","","","","","","","","",3. All 4 MFGs,
337,FGTransportEmissions,FGTransportEmissions0005,Include,16.266493012547883,Flow,EA,"","",DC_Detroit,Aggregate,CZ_Salt Lake City,Aggregate,"",Aggregate,LTL,"","","","","","","","","","",3. All 4 MFGs,
338,FGTransportEmissions,FGTransportEmissions0006,Include,21.636618498004154,Flow,EA,"","",DC_Detroit,Aggregate,CZ_Fresno,Aggregate,"",Aggregate,LTL,"","","","","","","","","","",3. All 4 MFGs,
339,FGTransportEmissions,FGTransportEmissions0007,Include,10.238763504950466,Flow,EA,"","",Ho Chi Minh,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
340,FGTransportEmissions,FGTransportEmissions00071,Include,120.43076022240548,Flow,EA,"","",Belo Horizonte,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
341,FGTransportEmissions,FGTransportEmissions00072,Include,8.346228101950334,Flow,EA,"","",Shanghai,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
342,FGTransportEmissions,FGTransportEmissions00073,Include,9.29254563562023,Flow,EA,"","",Chengdu,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
343,FGTransportEmissions,FGTransportEmissions0008,Include,10.238763504950466,Flow,EA,"","",Ho Chi Minh,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
344,FGTransportEmissions,FGTransportEmissions00081,Include,8.346228101950334,Flow,EA,"","",Shanghai,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
345,FGTransportEmissions,FGTransportEmissions00082,Include,120.43076022240548,Flow,EA,"","",Belo Horizonte,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
346,FGTransportEmissions,FGTransportEmissions00083,Include,9.29254563562023,Flow,EA,"","",Chengdu,Aggregate,Port_Hong Kong,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
347,FGTransportEmissions,FGTransportEmissions0009,Include,107.64214054333999,Flow,EA,"","",Belo Horizonte,Aggregate,Port_Kuala Lumpur,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
348,FGTransportEmissions,FGTransportEmissions00091,Include,6.872021435910231,Flow,EA,"","",Ho Chi Minh,Aggregate,Port_Kuala Lumpur,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
349,FGTransportEmissions,FGTransportEmissions00092,Include,20.843705682042067,Flow,EA,"","",Chengdu,Aggregate,Port_Kuala Lumpur,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
350,FGTransportEmissions,FGTransportEmissions00093,Include,25.452555383181142,Flow,EA,"","",Shanghai,Aggregate,Port_Kuala Lumpur,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
351,FGTransportEmissions,FGTransportEmissions0010,Include,102.36497245154085,Flow,EA,"","",Chengdu,Aggregate,Port_Recife,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
352,FGTransportEmissions,FGTransportEmissions00101,Include,107.26162958849012,Flow,EA,"","",Ho Chi Minh,Aggregate,Port_Recife,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
353,FGTransportEmissions,FGTransportEmissions00102,Include,11.142873390188347,Flow,EA,"","",Belo Horizonte,Aggregate,Port_Recife,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
354,FGTransportEmissions,FGTransportEmissions00103,Include,111.78946475504776,Flow,EA,"","",Shanghai,Aggregate,Port_Recife,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
355,FGTransportEmissions,FGTransportEmissions0011,Include,21.704249297559343,Flow,EA,"","",Port_Long Beach,Aggregate,DC_Detroit,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
356,FGTransportEmissions,FGTransportEmissions0012,Include,6.686203234766492,Flow,EA,"","",Port_Boston,Aggregate,DC_Detroit,Aggregate,"",Aggregate,FTL,"","","","","","","","","","",3. All 4 MFGs,
357,FGTransportEmissions,FGTransportEmissions0013,Include,79.2979887202712,Flow,EA,"","",Port_Hong Kong,Aggregate,Port_Long Beach,Aggregate,"",Aggregate,Ocean,"","","","","","","","","","",3. All 4 MFGs,
358,FGTransportEmissions,FGTransportEmissions0014,Include,96.16006234278214,Flow,EA,"","",Port_Kuala Lumpur,Aggregate,Port_Long Beach,Aggregate,"",Aggregate,Ocean,"","","","","","","","","","",3. All 4 MFGs,
359,FGTransportEmissions,FGTransportEmissions0015,Include,45.51276774041001,Flow,EA,"","",Port_Recife,Aggregate,Port_Boston,Aggregate,"",Aggregate,Ocean,"","","","","","","","","","",3. All 4 MFGs,
