id,scenarioname,periodname,bomname,facilityname,productname,producttype,bomquantity,bomquantityuom,bomweight,bomweightuom,bomvolume,bomvolumeuom,latitude,longitude
1099,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0001,MFG_Shanghai,RM_0001,Component,8242.0,EA,8242.0,LB,8242.0,CFT,31.2322758,121.4692071
1100,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Pack_Style_1,Component,8242.0,EA,8242.0,LB,8242.0,CFT,31.2322758,121.4692071
1101,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Water_1,Component,727.658713535,EA,727.658713535,LB,727.658713535,CFT,31.2322758,121.4692071
1102,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0002,MFG_Chengdu,RM_0002,Component,9055.217992000107,EA,9055.217992000107,LB,9055.217992000107,CFT,30.659863,104.063372
1103,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0002,MFG_Chengdu,Pack_Style_2,Component,12073.623989333477,EA,12073.623989333477,LB,12073.623989333477,CFT,30.659863,104.063372
1104,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0002,MFG_Chengdu,Water_2,Component,852.752021333047,EA,852.752021333047,LB,852.752021333047,CFT,30.659863,104.063372
1105,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0002,MFG_Shanghai,RM_0002,Component,4855.782007999893,EA,4855.782007999893,LB,4855.782007999893,CFT,31.2322758,121.4692071
1106,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0002,MFG_Shanghai,Pack_Style_2,Component,6474.376010666523,EA,6474.376010666523,LB,6474.376010666523,CFT,31.2322758,121.4692071
1107,1. China 2 MFGs Only,SinglePeriod,BOM_FG_0002,MFG_Shanghai,Water_2,Component,457.280865698953,EA,457.280865698953,LB,457.280865698953,CFT,31.2322758,121.4692071
1108,3. All 4 MFGs,SinglePeriod,BOM_FG_0001,MFG_Shanghai,RM_0001,Component,514.880646826574,EA,514.880646826574,LB,514.880646826574,CFT,31.2322758,121.4692071
1109,3. All 4 MFGs,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Pack_Style_1,Component,514.880646826574,EA,514.880646826574,LB,514.880646826574,CFT,31.2322758,121.4692071
1110,3. All 4 MFGs,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Water_1,Component,45.457096468563,EA,45.457096468563,LB,45.457096468563,CFT,31.2322758,121.4692071
1111,3. All 4 MFGs,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,RM_0001,Component,7727.119353173426,EA,7727.119353173426,LB,7727.119353173426,CFT,-19.9227,-43.9451
1112,3. All 4 MFGs,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,Pack_Style_1,Component,7727.119353173426,EA,7727.119353173426,LB,7727.119353173426,CFT,-19.9227,-43.9451
1113,3. All 4 MFGs,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,Water_1,Component,682.201617066437,EA,682.201617066437,LB,682.201617066437,CFT,-19.9227,-43.9451
1114,3. All 4 MFGs,SinglePeriod,BOM_FG_0002,MFG_Ho Chi Minh,RM_0002,Component,1811.043598400022,EA,1811.043598400022,LB,1811.043598400022,CFT,10.7758439,106.7017555
