id,scenarioname,periodname,sitename,sitetype,productname,cost,revenue,quantity,perunitcost,perunitrevenue,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
226,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,Customer,FG_0001,13103043.256274326,0.0,894.0,14656.64793766703,0.0,9772.620356986363,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,47.603832,-122.330062
227,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,Customer,FG_0001,6845818.219346953,0.0,645.0,10613.671657902252,0.0,5729.644077221583,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.441694,-79.990086
228,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,Customer,FG_0001,5675259.018183169,0.0,501.0,11327.862311742852,0.0,6443.834731062182,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,35.780398,-78.639099
229,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,Customer,FG_0001,9317331.770575251,0.0,808.0,11531.351201206993,0.0,6647.323620526324,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,33.748992,-84.390264
230,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,Customer,FG_0001,8550585.923602961,0.0,628.0,13615.582680896436,0.0,8731.555100215766,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.75962,-111.886798
231,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,Customer,FG_0001,9523559.2819128,0.0,645.0,14765.208189012092,0.0,9881.180608331422,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,36.739442,-119.784831
232,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,Customer,FG_0002,7961654.1610414665,0.0,505.0,15765.651804042507,0.0,9871.523630651314,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,47.603832,-122.330062
233,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,Customer,FG_0002,8545830.457198467,0.0,729.0,11722.675524277733,0.0,5828.547350886539,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.441694,-79.990086
234,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,Customer,FG_0002,10720578.645538,0.0,862.0,12436.86617811833,0.0,6542.738004727137,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,35.780398,-78.639099
235,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,Customer,FG_0002,11186714.234810488,0.0,885.0,12640.355067582472,0.0,6746.226894191279,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,33.748992,-84.390264
236,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,Customer,FG_0002,13782213.008246513,0.0,936.0,14724.586547271916,0.0,8830.458373880723,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.75962,-111.886798
237,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,Customer,FG_0002,11429432.679879049,0.0,720.0,15874.212055387568,0.0,9980.083881996376,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,36.739442,-119.784831
238,3. All 4 MFGs,SinglePeriod,CZ_Seattle,Customer,FG_0001,12274994.473450813,0.0,894.0,13730.418874106055,0.0,7763.432269717664,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,47.603832,-122.330062
239,3. All 4 MFGs,SinglePeriod,CZ_Pittsburgh,Customer,FG_0001,6248400.4733501235,0.0,645.0,9687.442594341279,0.0,3720.455989952885,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.441694,-79.990086
240,3. All 4 MFGs,SinglePeriod,CZ_Raleigh,Customer,FG_0001,5211218.257339121,0.0,501.0,10401.633248181877,0.0,4434.646643793485,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,35.780398,-78.639099
241,3. All 4 MFGs,SinglePeriod,CZ_Atlanta,Customer,FG_0001,8568938.687217982,0.0,808.0,10605.122137646018,0.0,4638.135533257627,0.0,0.0,0.0,3962.517788389234,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,33.748992,-84.390264
242,3. All 4 MFGs,SinglePeriod,CZ_Salt Lake City,Customer,FG_0001,7968914.071686669,0.0,628.0,12689.35361733546,0.0,6722.367012947069,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.75962,-111.886798
243,3. All 4 MFGs,SinglePeriod,CZ_Fresno,Customer,FG_0001,8926141.53591597,0.0,645.0,13838.979125451116,0.0,7871.992521062724,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,36.739442,-119.784831
244,3. All 4 MFGs,SinglePeriod,CZ_Seattle,Customer,FG_0002,8826856.701265758,0.0,505.0,17478.92416092229,0.0,9793.115468045977,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,47.603832,-122.330062
