id,scenarioname,periodname,customername,totaloriginaldemandquantity,totalserveddemandquantity,totalunserveddemandquantity,demandquantityuom,totaloriginaldemandvolume,totalserveddemandvolume,totalunserveddemandvolume,demandvolumeuom,totaloriginaldemandweight,totalserveddemandweight,totalunserveddemandweight,demandweightuom,totalrevenue,customerriskscore,concentrationrisk,sourcecountrisk,geographicrisk,latitude,longitude,userdefinedrisk
637,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,1399.0,1399.0,0.0,EA,1399.0,1399.0,0.0,CFT,1399.0,1399.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,
638,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,1363.0,1363.0,0.0,EA,1363.0,1363.0,0.0,CFT,1363.0,1363.0,0.0,LB,0.0,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,
639,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,1693.0,1693.0,0.0,EA,1693.0,1693.0,0.0,CFT,1693.0,1693.0,0.0,LB,0.0,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,
640,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,1564.0,1564.0,0.0,EA,1564.0,1564.0,0.0,CFT,1564.0,1564.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,
641,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,1365.0,1365.0,0.0,EA,1365.0,1365.0,0.0,CFT,1365.0,1365.0,0.0,LB,0.0,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,
642,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,1374.0,1374.0,0.0,EA,1374.0,1374.0,0.0,CFT,1374.0,1374.0,0.0,LB,0.0,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,
643,3. All 4 MFGs,SinglePeriod,CZ_Seattle,1399.0,1399.0,0.0,EA,1399.0,1399.0,0.0,CFT,1399.0,1399.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,
644,3. All 4 MFGs,SinglePeriod,CZ_Raleigh,1363.0,1363.0,0.0,EA,1363.0,1363.0,0.0,CFT,1363.0,1363.0,0.0,LB,0.0,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,
645,3. All 4 MFGs,SinglePeriod,CZ_Atlanta,1693.0,1693.0,0.0,EA,1693.0,1693.0,0.0,CFT,1693.0,1693.0,0.0,LB,0.0,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,
646,3. All 4 MFGs,SinglePeriod,CZ_Salt Lake City,1564.0,1564.0,0.0,EA,1564.0,1564.0,0.0,CFT,1564.0,1564.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,
647,3. All 4 MFGs,SinglePeriod,CZ_Fresno,1365.0,1365.0,0.0,EA,1365.0,1365.0,0.0,CFT,1365.0,1365.0,0.0,LB,0.0,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,
648,3. All 4 MFGs,SinglePeriod,CZ_Pittsburgh,1374.0,1374.0,0.0,EA,1374.0,1374.0,0.0,CFT,1374.0,1374.0,0.0,LB,0.0,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,
649,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Seattle,1399.0,1399.0,0.0,EA,1399.0,1399.0,0.0,CFT,1399.0,1399.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,
650,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Raleigh,1363.0,1363.0,0.0,EA,1363.0,1363.0,0.0,CFT,1363.0,1363.0,0.0,LB,0.0,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,
651,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Atlanta,1693.0,1693.0,0.0,EA,1693.0,1693.0,0.0,CFT,1693.0,1693.0,0.0,LB,0.0,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,
652,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Salt Lake City,1564.0,1564.0,0.0,EA,1564.0,1564.0,0.0,CFT,1564.0,1564.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,
653,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Fresno,1365.0,1365.0,0.0,EA,1365.0,1365.0,0.0,CFT,1365.0,1365.0,0.0,LB,0.0,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,
654,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Pittsburgh,1374.0,1374.0,0.0,EA,1374.0,1374.0,0.0,CFT,1374.0,1374.0,0.0,LB,0.0,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,
655,4. Max Emissions Cap,SinglePeriod,CZ_Seattle,1399.0,1399.0,0.0,EA,1399.0,1399.0,0.0,CFT,1399.0,1399.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,
656,4. Max Emissions Cap,SinglePeriod,CZ_Raleigh,1363.0,1363.0,0.0,EA,1363.0,1363.0,0.0,CFT,1363.0,1363.0,0.0,LB,0.0,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,
657,4. Max Emissions Cap,SinglePeriod,CZ_Atlanta,1693.0,1693.0,0.0,EA,1693.0,1693.0,0.0,CFT,1693.0,1693.0,0.0,LB,0.0,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,
658,4. Max Emissions Cap,SinglePeriod,CZ_Salt Lake City,1564.0,1564.0,0.0,EA,1564.0,1564.0,0.0,CFT,1564.0,1564.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,
659,4. Max Emissions Cap,SinglePeriod,CZ_Fresno,1365.0,1365.0,0.0,EA,1365.0,1365.0,0.0,CFT,1365.0,1365.0,0.0,LB,0.0,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,
660,4. Max Emissions Cap,SinglePeriod,CZ_Pittsburgh,1374.0,1374.0,0.0,EA,1374.0,1374.0,0.0,CFT,1374.0,1374.0,0.0,LB,0.0,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,
661,Baseline,SinglePeriod,CZ_Seattle,1399.0,1399.0,0.0,EA,1399.0,1399.0,0.0,CFT,1399.0,1399.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,
662,Baseline,SinglePeriod,CZ_Raleigh,1363.0,1363.0,0.0,EA,1363.0,1363.0,0.0,CFT,1363.0,1363.0,0.0,LB,0.0,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,
663,Baseline,SinglePeriod,CZ_Atlanta,1693.0,1693.0,0.0,EA,1693.0,1693.0,0.0,CFT,1693.0,1693.0,0.0,LB,0.0,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,
664,Baseline,SinglePeriod,CZ_Salt Lake City,1564.0,1564.0,0.0,EA,1564.0,1564.0,0.0,CFT,1564.0,1564.0,0.0,LB,0.0,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,
665,Baseline,SinglePeriod,CZ_Fresno,1365.0,1365.0,0.0,EA,1365.0,1365.0,0.0,CFT,1365.0,1365.0,0.0,LB,0.0,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,
666,Baseline,SinglePeriod,CZ_Pittsburgh,1374.0,1374.0,0.0,EA,1374.0,1374.0,0.0,CFT,1374.0,1374.0,0.0,LB,0.0,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,
