id,scenarioname,periodname,customername,productname,demandstatus,originaldemandquantity,serveddemandquantity,unserveddemandquantity,demandquantityuom,originaldemandvolume,serveddemandvolume,unserveddemandvolume,demandvolumeuom,originaldemandweight,serveddemandweight,unserveddemandweight,demandweightuom,revenue,concentrationrisk,sourcecountrisk,geographicrisk,latitude,longitude,costtoserve,userdefinedrisk
1273,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,13103043.256274326,
1274,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6845818.219346953,
1275,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5675259.018183169,
1276,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,9317331.770575251,
1277,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,FG_0001,served,628.0,628.0,0.0,EA,628.0,628.0,0.0,CFT,628.0,628.0,0.0,LB,0.0,8.868234756794,10.0,3.109071060402,40.75962,-111.886798,8550585.923602961,
1278,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,2.734071060402,36.739442,-119.784831,9523559.2819128,
1279,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,FG_0002,served,505.0,505.0,0.0,EA,505.0,505.0,0.0,CFT,505.0,505.0,0.0,LB,0.0,8.306462662708,10.0,3.109071060402,47.603832,-122.330062,7961654.1610414665,
1280,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,FG_0002,served,729.0,729.0,0.0,EA,729.0,729.0,0.0,CFT,729.0,729.0,0.0,LB,0.0,9.329527289335,10.0,3.427491634827,40.441694,-79.990086,8545830.457198467,
1281,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,FG_0002,served,862.0,862.0,0.0,EA,862.0,862.0,0.0,CFT,862.0,862.0,0.0,LB,0.0,9.936971911395,10.0,3.45692252043,35.780398,-78.639099,10720578.645538,
1282,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,FG_0002,served,885.0,885.0,0.0,EA,885.0,885.0,0.0,CFT,885.0,885.0,0.0,LB,0.0,10.0,10.0,3.559071060402,33.748992,-84.390264,11186714.234810488,
1283,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,FG_0002,served,936.0,936.0,0.0,EA,936.0,936.0,0.0,CFT,936.0,936.0,0.0,LB,0.0,10.0,10.0,3.109071060402,40.75962,-111.886798,13782213.008246513,
1284,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,FG_0002,served,720.0,720.0,0.0,EA,720.0,720.0,0.0,CFT,720.0,720.0,0.0,LB,0.0,9.288422014158,10.0,2.734071060402,36.739442,-119.784831,11429432.679879049,
1285,3. All 4 MFGs,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,12274994.473450813,
1286,3. All 4 MFGs,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6248400.4733501235,
1287,3. All 4 MFGs,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5211218.257339121,
1288,3. All 4 MFGs,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,8568938.687217982,
