id,scenarioname,periodname,facilityname,productname,activitytype,cost,quantity,perunitcost,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
503,Baseline,NA,UnassignableEnd,NA,,9500000.0,1.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
504,Baseline,SinglePeriod,MFG_Shanghai,FG_0001,Facility,875297.0996051756,257.440323413287,3400.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
505,Baseline,SinglePeriod,MFG_Belo Horizonte,FG_0001,Facility,15454238.706346853,3863.559676586713,4000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9227,-43.9451
506,Baseline,SinglePeriod,MFG_Shanghai,FG_0002,Facility,19707250.0,4637.0,4250.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
507,Baseline,SinglePeriod,MFG_Shanghai,FG_0001,FacilityPostFixedCost,1111990.4452810893,257.440323413287,4319.410535761072,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
508,Baseline,SinglePeriod,MFG_Belo Horizonte,FG_0001,FacilityPostFixedCost,20454238.70634686,3863.559676586713,5294.14333375,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9227,-43.9451
509,Baseline,SinglePeriod,MFG_Shanghai,FG_0002,FacilityPostFixedCost,23970556.65432409,4637.0,5169.410535761072,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
510,Baseline,SinglePeriod,Port_Hong Kong,FG_0001,Facility,1456975.3106775915,257.440323413287,5659.468149201348,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
511,Baseline,SinglePeriod,Port_Recife,FG_0001,Facility,27366466.490936566,3863.559676586713,7083.226035507661,1789.082701757661,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0642,-34.8782
512,Baseline,SinglePeriod,Port_Hong Kong,FG_0002,Facility,30184403.80784665,4637.0,6509.468149201348,1340.057613440276,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
513,Baseline,SinglePeriod,Port_Hong Kong,FG_0001,FacilityPostFixedCost,1456975.3106775915,257.440323413287,5659.468149201348,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
514,Baseline,SinglePeriod,Port_Recife,FG_0001,FacilityPostFixedCost,27366466.490936566,3863.559676586713,7083.226035507661,1789.082701757661,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0642,-34.8782
515,Baseline,SinglePeriod,Port_Hong Kong,FG_0002,FacilityPostFixedCost,30184403.80784665,4637.0,6509.468149201348,1340.057613440276,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
516,Baseline,SinglePeriod,Port_Long Beach,FG_0001,Facility,1566232.6727286938,257.440323413287,6083.866940356158,1764.456404595086,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
517,Baseline,SinglePeriod,Port_Boston,FG_0001,Facility,28307560.129033685,3863.559676586713,7326.808047143246,2032.664713393247,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.360253,-71.058291
518,Baseline,SinglePeriod,Port_Long Beach,FG_0002,Facility,32152341.002431504,4637.0,6933.866940356158,1764.456404595086,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
519,Baseline,SinglePeriod,Port_Long Beach,FG_0001,FacilityPostFixedCost,1566232.6727286938,257.440323413287,6083.866940356158,1764.456404595086,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
520,Baseline,SinglePeriod,Port_Boston,FG_0001,FacilityPostFixedCost,28307560.129033685,3863.559676586713,7326.808047143246,2032.664713393247,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.360253,-71.058291
