id,scenarioname,riskratingname,sitename,sitetype,geographicriskscore,biolabdistancerisk,economicrisk,naturaldisasterrisk,nucleardistancerisk,politicalrisk,epidemicrisk,laborrisk,latitude,longitude
439,Baseline,OptiRisk,CZ_Seattle,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,47.603832,-122.330062
440,Baseline,OptiRisk,CZ_Raleigh,Customer,3.45692252043,1.0,1.21860715246,4.0,7.957029200556,4.270507382793,5.758620689655,,35.780398,-78.639099
441,Baseline,OptiRisk,CZ_Atlanta,Customer,3.559071060402,10.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,33.748992,-84.390264
442,Baseline,OptiRisk,CZ_Salt Lake City,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,40.75962,-111.886798
443,Baseline,OptiRisk,CZ_Fresno,Customer,2.734071060402,1.0,1.21860715246,2.5,1.0,4.270507382793,5.758620689655,,36.739442,-119.784831
444,Baseline,OptiRisk,CZ_Pittsburgh,Customer,3.427491634827,1.0,1.21860715246,4.0,7.368411488496,4.270507382793,5.758620689655,,40.441694,-79.990086
445,Baseline,OptiRisk,DC_Detroit,Facility,3.045696943096,1.0,1.21860715246,2.5,7.232517653879,4.270507382793,5.758620689655,,42.331551,-83.04664
446,Baseline,OptiRisk,Port_Boston,Facility,3.815663521225,10.0,1.21860715246,4.0,6.131849216459,4.270507382793,5.758620689655,,42.360253,-71.058291
447,Baseline,OptiRisk,Port_Long Beach,Facility,2.396571060402,1.0,1.21860715246,1.15,1.0,4.270507382793,5.758620689655,,33.769016,-118.191604
448,Baseline,OptiRisk,Port_Hong Kong,Facility,3.071844909857,1.0,1.0,1.15,6.836166524571,5.818422196581,6.379310344828,,22.2996535,114.1675485
449,Baseline,OptiRisk,Port_Kuala Lumpur,Facility,4.979720599266,1.0,8.12336649637,2.2,1.0,5.081187429005,6.224137931034,,3.1516964,101.6942371
450,Baseline,OptiRisk,Port_Recife,Facility,5.900524144961,1.0,8.961414358699,4.0,1.0,6.393226935613,5.137931034483,,-8.0642,-34.8782
451,Baseline,OptiRisk,MFG_Shanghai,Facility,3.640953299017,1.0,1.0,4.0,3.968334307789,5.818422196581,6.379310344828,,31.2322758,121.4692071
452,Baseline,OptiRisk,MFG_Chengdu,Facility,3.117536583628,1.0,1.0,2.5,1.0,5.818422196581,6.379310344828,,30.659863,104.063372
453,Baseline,OptiRisk,MFG_Ho Chi Minh,Facility,5.908707563605,1.0,8.947700994891,4.0,1.0,5.821726991584,6.689655172414,,10.7758439,106.7017555
454,Baseline,OptiRisk,MFG_Belo Horizonte,Facility,5.900524144961,1.0,8.961414358699,4.0,1.0,6.393226935613,5.137931034483,,-19.9227,-43.9451
455,Baseline,OptiRisk,MFG_Overflow,Facility,,,,,,,,,,
375,1. China 2 MFGs Only,OptiRisk,CZ_Seattle,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,47.603832,-122.330062
376,1. China 2 MFGs Only,OptiRisk,CZ_Raleigh,Customer,3.45692252043,1.0,1.21860715246,4.0,7.957029200556,4.270507382793,5.758620689655,,35.780398,-78.639099
377,1. China 2 MFGs Only,OptiRisk,CZ_Atlanta,Customer,3.559071060402,10.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,33.748992,-84.390264
378,1. China 2 MFGs Only,OptiRisk,CZ_Salt Lake City,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,40.75962,-111.886798
379,1. China 2 MFGs Only,OptiRisk,CZ_Fresno,Customer,2.734071060402,1.0,1.21860715246,2.5,1.0,4.270507382793,5.758620689655,,36.739442,-119.784831
380,1. China 2 MFGs Only,OptiRisk,CZ_Pittsburgh,Customer,3.427491634827,1.0,1.21860715246,4.0,7.368411488496,4.270507382793,5.758620689655,,40.441694,-79.990086
381,1. China 2 MFGs Only,OptiRisk,DC_Detroit,Facility,3.045696943096,1.0,1.21860715246,2.5,7.232517653879,4.270507382793,5.758620689655,,42.331551,-83.04664
382,1. China 2 MFGs Only,OptiRisk,Port_Boston,Facility,3.815663521225,10.0,1.21860715246,4.0,6.131849216459,4.270507382793,5.758620689655,,42.360253,-71.058291
383,1. China 2 MFGs Only,OptiRisk,Port_Long Beach,Facility,2.396571060402,1.0,1.21860715246,1.15,1.0,4.270507382793,5.758620689655,,33.769016,-118.191604
384,1. China 2 MFGs Only,OptiRisk,Port_Hong Kong,Facility,3.071844909857,1.0,1.0,1.15,6.836166524571,5.818422196581,6.379310344828,,22.2996535,114.1675485
385,1. China 2 MFGs Only,OptiRisk,Port_Kuala Lumpur,Facility,4.979720599266,1.0,8.12336649637,2.2,1.0,5.081187429005,6.224137931034,,3.1516964,101.6942371
386,1. China 2 MFGs Only,OptiRisk,Port_Recife,Facility,5.900524144961,1.0,8.961414358699,4.0,1.0,6.393226935613,5.137931034483,,-8.0642,-34.8782
387,1. China 2 MFGs Only,OptiRisk,MFG_Shanghai,Facility,3.640953299017,1.0,1.0,4.0,3.968334307789,5.818422196581,6.379310344828,,31.2322758,121.4692071
388,1. China 2 MFGs Only,OptiRisk,MFG_Chengdu,Facility,3.117536583628,1.0,1.0,2.5,1.0,5.818422196581,6.379310344828,,30.659863,104.063372
389,1. China 2 MFGs Only,OptiRisk,MFG_Overflow,Facility,,,,,,,,,,
390,3. All 4 MFGs,OptiRisk,CZ_Seattle,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,47.603832,-122.330062
391,3. All 4 MFGs,OptiRisk,CZ_Raleigh,Customer,3.45692252043,1.0,1.21860715246,4.0,7.957029200556,4.270507382793,5.758620689655,,35.780398,-78.639099
392,3. All 4 MFGs,OptiRisk,CZ_Atlanta,Customer,3.559071060402,10.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,33.748992,-84.390264
393,3. All 4 MFGs,OptiRisk,CZ_Salt Lake City,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,40.75962,-111.886798
394,3. All 4 MFGs,OptiRisk,CZ_Fresno,Customer,2.734071060402,1.0,1.21860715246,2.5,1.0,4.270507382793,5.758620689655,,36.739442,-119.784831
395,3. All 4 MFGs,OptiRisk,CZ_Pittsburgh,Customer,3.427491634827,1.0,1.21860715246,4.0,7.368411488496,4.270507382793,5.758620689655,,40.441694,-79.990086
396,3. All 4 MFGs,OptiRisk,DC_Detroit,Facility,3.045696943096,1.0,1.21860715246,2.5,7.232517653879,4.270507382793,5.758620689655,,42.331551,-83.04664
397,3. All 4 MFGs,OptiRisk,Port_Boston,Facility,3.815663521225,10.0,1.21860715246,4.0,6.131849216459,4.270507382793,5.758620689655,,42.360253,-71.058291
398,3. All 4 MFGs,OptiRisk,Port_Long Beach,Facility,2.396571060402,1.0,1.21860715246,1.15,1.0,4.270507382793,5.758620689655,,33.769016,-118.191604
399,3. All 4 MFGs,OptiRisk,Port_Hong Kong,Facility,3.071844909857,1.0,1.0,1.15,6.836166524571,5.818422196581,6.379310344828,,22.2996535,114.1675485
400,3. All 4 MFGs,OptiRisk,Port_Kuala Lumpur,Facility,4.979720599266,1.0,8.12336649637,2.2,1.0,5.081187429005,6.224137931034,,3.1516964,101.6942371
401,3. All 4 MFGs,OptiRisk,Port_Recife,Facility,5.900524144961,1.0,8.961414358699,4.0,1.0,6.393226935613,5.137931034483,,-8.0642,-34.8782
402,3. All 4 MFGs,OptiRisk,MFG_Shanghai,Facility,3.640953299017,1.0,1.0,4.0,3.968334307789,5.818422196581,6.379310344828,,31.2322758,121.4692071
403,3. All 4 MFGs,OptiRisk,MFG_Chengdu,Facility,3.117536583628,1.0,1.0,2.5,1.0,5.818422196581,6.379310344828,,30.659863,104.063372
404,3. All 4 MFGs,OptiRisk,MFG_Ho Chi Minh,Facility,5.908707563605,1.0,8.947700994891,4.0,1.0,5.821726991584,6.689655172414,,10.7758439,106.7017555
405,3. All 4 MFGs,OptiRisk,MFG_Belo Horizonte,Facility,5.900524144961,1.0,8.961414358699,4.0,1.0,6.393226935613,5.137931034483,,-19.9227,-43.9451
406,3. All 4 MFGs,OptiRisk,MFG_Overflow,Facility,,,,,,,,,,
407,2. Brazil and Vietnam MFG Only,OptiRisk,CZ_Seattle,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,47.603832,-122.330062
408,2. Brazil and Vietnam MFG Only,OptiRisk,CZ_Raleigh,Customer,3.45692252043,1.0,1.21860715246,4.0,7.957029200556,4.270507382793,5.758620689655,,35.780398,-78.639099
409,2. Brazil and Vietnam MFG Only,OptiRisk,CZ_Atlanta,Customer,3.559071060402,10.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,33.748992,-84.390264
410,2. Brazil and Vietnam MFG Only,OptiRisk,CZ_Salt Lake City,Customer,3.109071060402,1.0,1.21860715246,4.0,1.0,4.270507382793,5.758620689655,,40.75962,-111.886798
411,2. Brazil and Vietnam MFG Only,OptiRisk,CZ_Fresno,Customer,2.734071060402,1.0,1.21860715246,2.5,1.0,4.270507382793,5.758620689655,,36.739442,-119.784831
412,2. Brazil and Vietnam MFG Only,OptiRisk,CZ_Pittsburgh,Customer,3.427491634827,1.0,1.21860715246,4.0,7.368411488496,4.270507382793,5.758620689655,,40.441694,-79.990086
413,2. Brazil and Vietnam MFG Only,OptiRisk,DC_Detroit,Facility,3.045696943096,1.0,1.21860715246,2.5,7.232517653879,4.270507382793,5.758620689655,,42.331551,-83.04664
414,2. Brazil and Vietnam MFG Only,OptiRisk,Port_Boston,Facility,3.815663521225,10.0,1.21860715246,4.0,6.131849216459,4.270507382793,5.758620689655,,42.360253,-71.058291
415,2. Brazil and Vietnam MFG Only,OptiRisk,Port_Long Beach,Facility,2.396571060402,1.0,1.21860715246,1.15,1.0,4.270507382793,5.758620689655,,33.769016,-118.191604
416,2. Brazil and Vietnam MFG Only,OptiRisk,Port_Hong Kong,Facility,3.071844909857,1.0,1.0,1.15,6.836166524571,5.818422196581,6.379310344828,,22.2996535,114.1675485
