id,scenarioname,periodname,facilityname,productname,inboundhandlingcost,stockingcost,destockingcost,outboundhandlingcost,inboundquantity,stockedquantity,destockedquantity,outboundquantity,quantityuom,inboundvolume,stockedvolume,destockedvolume,outboundvolume,volumeuom,inboundweight,stockedweight,destockedweight,outboundweight,weightuom,latitude,longitude
1169,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0001,2060500.0,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1170,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1171,1. China 2 MFGs Only,SinglePeriod,MFG_Chengdu,FG_0002,0.0,,,0.0,0.0,0,0,3018.405997333369,EA,0.0,0,0,3018.405997333369,CFT,0.0,0,0,3018.405997333369,LB,30.659863,104.063372
1172,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,22.2996535,114.1675485
1173,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0001,0.0,,,0.0,0.0,0,0,4121.0,EA,0.0,0,0,4121.0,CFT,0.0,0,0,4121.0,LB,31.2322758,121.4692071
1174,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0001,0.0,,,0.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,22.2996535,114.1675485
1175,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0002,0.0,,,0.0,0.0,0,0,1618.594002666631,EA,0.0,0,0,1618.594002666631,CFT,0.0,0,0,1618.594002666631,LB,31.2322758,121.4692071
1176,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0001,0.0,,,0.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,33.769016,-118.191604
1177,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,33.769016,-118.191604
1178,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0001,2060500.0000000002,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1179,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1180,3. All 4 MFGs,SinglePeriod,MFG_Chengdu,FG_0002,0.0,,,0.0,0.0,0,0,1207.362398933348,EA,0.0,0,0,1207.362398933348,CFT,0.0,0,0,1207.362398933348,LB,30.659863,104.063372
1181,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0002,0.0,,,0.0,4033.318800533326,0,0,4033.318800533326,EA,4033.318800533326,0,0,4033.318800533326,CFT,4033.318800533326,0,0,4033.318800533326,LB,22.2996535,114.1675485
1182,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0001,0.0,,,0.0,0.0,0,0,257.440323413287,EA,0.0,0,0,257.440323413287,CFT,0.0,0,0,257.440323413287,LB,31.2322758,121.4692071
