id,scenarioname,tablename,columnname,validationrule,errortype,errormessage,severity,identifiedvalue,action,valuereplaced,count
2523,Baseline,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,"",1
2524,Baseline,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,"",1
2525,Baseline,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,"",1
2526,Baseline,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,"",1
2527,Baseline,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,"",6
2528,Baseline,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,"",1
2529,Baseline,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2530,Baseline,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2531,Baseline,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2532,Baseline,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2533,Baseline,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,,6
2534,Baseline,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,,1
2447,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,1
2423,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",1
2424,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",1
2425,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",1
