id,bandname,bandlowervalue,riskscore,notes
1,Customer Concentration Band Template Loose 20%_8Risk,0.0,1.0,""
2,Customer Concentration Band Template Loose 20%_8Risk,0.01,1.05,""
3,Customer Concentration Band Template Loose 20%_8Risk,0.025,1.5,""
4,Customer Concentration Band Template Loose 20%_8Risk,0.05,2.25,""
5,Customer Concentration Band Template Loose 20%_8Risk,0.15,6.5,""
6,Customer Concentration Band Template Loose 20%_8Risk,0.2,8.0,""
7,Customer Concentration Band Template Loose 20%_8Risk,0.3,9.5,""
8,Customer Concentration Band Template Loose 20%_8Risk,0.4,9.9,""
9,Customer Concentration Band Template Loose 20%_8Risk,0.7,10.0,""
10,Customer Concentration Band Template Med 10%_8Risk,0.0,1.0,""
11,Customer Concentration Band Template Med 10%_8Risk,0.01,1.25,""
12,Customer Concentration Band Template Med 10%_8Risk,0.025,2.0,""
13,Customer Concentration Band Template Med 10%_8Risk,0.1,8.0,""
14,Customer Concentration Band Template Med 10%_8Risk,0.125,9.0,""
15,Customer Concentration Band Template Med 10%_8Risk,0.175,9.75,""
16,Customer Concentration Band Template Med 10%_8Risk,0.25,9.99,""
17,Customer Concentration Band Template Med 10%_8Risk,0.35,10.0,""
18,Customer Concentration Band Template Tight 5%_8Risk,0.0,1.0,""
19,Customer Concentration Band Template Tight 5%_8Risk,0.01,1.75,""
20,Customer Concentration Band Template Tight 5%_8Risk,0.025,4.0,""
21,Customer Concentration Band Template Tight 5%_8Risk,0.05,8.0,""
22,Customer Concentration Band Template Tight 5%_8Risk,0.075,9.5,""
23,Customer Concentration Band Template Tight 5%_8Risk,0.1,9.9,""
24,Customer Concentration Band Template Tight 5%_8Risk,0.2,10.0,""
25,Facility and Supplier Concentration Band Template,0.0,1.0,""
26,Facility and Supplier Concentration Band Template,0.2,2.0,""
27,Facility and Supplier Concentration Band Template,0.3,3.5,""
28,Facility and Supplier Concentration Band Template,0.55,8.25,""
29,Facility and Supplier Concentration Band Template,0.7,9.5,""
30,Facility and Supplier Concentration Band Template,1.0,10.0,""
31,Source Count Band Template,1.0,10.0,""
32,Source Count Band Template,2.0,6.0,""
33,Source Count Band Template,3.0,4.0,""
34,Source Count Band Template,4.0,2.7,""
35,Source Count Band Template,5.0,1.5,""
36,Source Count Band Template,6.0,1.0,""
37,BioLab and Nuclear Distance Band Template,0.0,10.0,""
38,BioLab and Nuclear Distance Band Template,10.0,10.0,""
39,BioLab and Nuclear Distance Band Template,20.0,7.75,""
40,BioLab and Nuclear Distance Band Template,30.0,6.0,""
