id,scenarioname,periodname,facilityname,initialstate,initialstatus,optimizedstatus,totalfacilitycost,operatingcost,startupcost,closingcost,totalinboundhandlingcost,totaloutboundhandlingcost,totalprebuildholdingcost,totalturnestimatedholdingcost,totalstoragecost,totalintransitholdingcost,totalproductioncost,totalprocesscost,totalinboundquantity,totaloutboundquantity,totalinventoryquantity,totalproductionquantity,quantityuom,totalinboundvolume,totaloutboundvolume,totalinventoryvolume,totalproductionvolume,volumeuom,totalinboundweight,totaloutboundweight,totalinventoryweight,totalproductionweight,weightuom,throughputcapacity,throughputcapacityuom,throughpututilization,storagecapacity,storagecapacityuom,storageutilization,facilityriskscore,concentrationrisk,sourcecountrisk,utilizationrisk,geographicrisk,latitude,longitude,totalstockingcost,totaldestockingcost,userdefinedrisk
979,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,existing,Open,Open,4739500.0,0.0,0,0,3451600.0,1287900.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.522848471548,10.0,10.0,,3.045696943096,42.331551,-83.04664,,,
980,1. China 2 MFGs Only,SinglePeriod,Port_Boston,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,2.759789700766,1.0,,,3.815663521225,42.360253,-71.058291,,,
981,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.198285530201,10.0,10.0,,2.396571060402,33.769016,-118.191604,,,
982,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.335922454928,10.0,9.0,,3.071844909857,22.2996535,114.1675485,,,
983,1. China 2 MFGs Only,SinglePeriod,Port_Kuala Lumpur,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,3.487325374541,1.0,,,4.979720599266,3.1516964,101.6942371,,,
984,1. China 2 MFGs Only,SinglePeriod,Port_Recife,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,4.062827590601,1.0,,,5.900524144961,-8.0642,-34.8782,,,
985,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,existing,Open,Open,25390424.511333182,4500000.0,0,0,0.0,0.0,0,0,0,0.0,20890424.511333182,0,0.0,5739.59400266663,0,34738.691600567,EA,0.0,5739.59400266663,0,34738.691600567,CFT,0.0,5739.59400266663,0,34738.691600567,LB,,"",,,"",,5.690753955298,9.107088382431,,,3.640953299017,31.2322758,121.4692071,,,
986,1. China 2 MFGs Only,SinglePeriod,MFG_Chengdu,existing,Open,Open,17328225.488666818,4500000.0,0,0,0.0,0.0,0,0,0,0.0,12828225.48866682,0,0.0,3018.405997333369,0,25000.0,EA,0.0,3018.405997333369,0,25000.0,CFT,0.0,3018.405997333369,0,25000.0,LB,,"",,,"",,3.408302221356,3.892911617569,,,3.117536583628,30.659863,104.063372,,,
987,1. China 2 MFGs Only,SinglePeriod,MFG_Overflow,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,1.0,1.0,,,,,,,,
988,3. All 4 MFGs,SinglePeriod,DC_Detroit,existing,Open,Open,4739500.0,0.0,0,0,3451600.0,1287900.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,,,
989,3. All 4 MFGs,SinglePeriod,Port_Boston,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,,,
990,3. All 4 MFGs,SinglePeriod,Port_Long Beach,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413288,4894.440323413287,0,0.0,EA,4894.440323413288,4894.440323413287,0,0.0,CFT,4894.440323413288,4894.440323413287,0,0.0,LB,,"",,,"",,5.213126984341,7.382804847134,9.0,,2.396571060402,33.769016,-118.191604,,,
991,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4290.759123946614,4290.759123946614,0,0.0,EA,4290.759123946614,4290.759123946614,0,0.0,CFT,4290.759123946614,4290.759123946614,0,0.0,LB,,"",,,"",,5.240582886278,6.348868104499,9.0,,3.071844909857,22.2996535,114.1675485,,,
992,3. All 4 MFGs,SinglePeriod,Port_Kuala Lumpur,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,603.681199466674,603.681199466674,0,0.0,EA,603.681199466674,603.681199466674,0,0.0,CFT,603.681199466674,603.681199466674,0,0.0,LB,,"",,,"",,4.893253973896,1.344645580878,10.0,,4.979720599266,3.1516964,101.6942371,,,
993,3. All 4 MFGs,SinglePeriod,Port_Recife,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,,,
994,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,existing,Open,Open,17385611.806405086,4500000.0,0,0,0.0,0.0,0,0,0,0.0,12885611.806405086,0,0.0,3083.396725013266,0,24738.691600567,EA,0.0,3083.396725013266,0,24738.691600567,CFT,0.0,3083.396725013266,0,24738.691600567,LB,,"",,,"",,3.7910931215,4.041326158971,,,3.640953299017,31.2322758,121.4692071,,,
995,3. All 4 MFGs,SinglePeriod,MFG_Chengdu,existing,Open,Open,9631290.195466727,4500000.0,0,0,0.0,0.0,0,0,0,0.0,5131290.195466729,0,0.0,1207.362398933348,0,10000.0,EA,0.0,1207.362398933348,0,10000.0,CFT,0.0,1207.362398933348,0,10000.0,LB,,"",,,"",,2.581944550426,1.689291161757,,,3.117536583628,30.659863,104.063372,,,
996,3. All 4 MFGs,SinglePeriod,MFG_Ho Chi Minh,existing,Open,Open,8018405.997333369,5000000.0,0,0,0.0,0.0,0,0,0,0.0,3018405.997333369,0,0.0,603.681199466674,0,5000.0,EA,0.0,603.681199466674,0,5000.0,CFT,0.0,603.681199466674,0,5000.0,LB,,"",,,"",,4.197184320082,1.344645580878,,,5.908707563605,10.7758439,106.7017555,,,
