id,scenarioname,startingperiodname,completionperiodname,facilityname,productname,bomname,processname,productionquantity,productionquantityuom,productionvolume,productionvolumeuom,productionweight,productionweightuom,productioncost,processcost,productiontime,productiontimeuom,latitude,longitude
1465,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0001,None,None,8242.0,EA,8242.0,CFT,8242.0,LB,0.0,0,0,HR,31.2322758,121.4692071
1466,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Chengdu,RM_0002,None,None,9055.217992000107,EA,9055.217992000107,CFT,9055.217992000107,LB,0.0,0,0,HR,30.659863,104.063372
1467,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0002,None,None,4855.782007999893,EA,4855.782007999893,CFT,4855.782007999893,LB,0.0,0,0,HR,31.2322758,121.4692071
1468,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,Pack_Style_1,None,None,8242.0,EA,8242.0,CFT,8242.0,LB,0.0,0,0,HR,31.2322758,121.4692071
1469,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Chengdu,Pack_Style_2,None,None,12073.623989333477,EA,12073.623989333477,CFT,12073.623989333477,LB,0.0,0,0,HR,30.659863,104.063372
1470,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,Pack_Style_2,None,None,6474.376010666523,EA,6474.376010666523,CFT,6474.376010666523,LB,0.0,0,0,HR,31.2322758,121.4692071
1471,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,Water_1,None,None,727.658713535,EA,727.658713535,CFT,727.658713535,LB,0.0,0,0,HR,31.2322758,121.4692071
1472,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Chengdu,Water_2,None,None,852.752021333047,EA,852.752021333047,CFT,852.752021333047,LB,0.0,0,0,HR,30.659863,104.063372
1473,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,Water_2,None,None,457.280865698953,EA,457.280865698953,CFT,457.280865698953,LB,0.0,0,0,HR,31.2322758,121.4692071
1474,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0001,BOM_FG_0001,None,4121.0,EA,4121.0,CFT,4121.0,LB,14011400.0,0,0,HR,31.2322758,121.4692071
1475,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Chengdu,FG_0002,BOM_FG_0002,None,3018.405997333369,EA,3018.405997333369,CFT,3018.405997333369,LB,12828225.48866682,0,0,HR,30.659863,104.063372
1476,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0002,BOM_FG_0002,None,1618.594002666631,EA,1618.594002666631,CFT,1618.594002666631,LB,6879024.511333181,0,0,HR,31.2322758,121.4692071
1477,3. All 4 MFGs,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0001,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,31.2322758,121.4692071
