id,unitofmeasurename,type,symbol,ratio,notes
1,Each,Quantity,EA,1.0,""
2,Pallet,Quantity,PLT,50.0,""
3,Pound,Weight,LB,1.0,""
4,Kilogram,Weight,KG,2.20462,""
5,Ton,Weight,T,2000.0,""
6,Gram,Weight,G,0.002205,""
7,Cubic Foot,Volume,CFT,1.0,""
8,Cubic Meter,Volume,CMTR,35.31466672,""
9,Liter,Volume,L,0.03531467,""
10,Barrel,Volume,BBL,5.61458333,""
11,Day,Time,DAY,24.0,""
12,Hour,Time,HR,1.0,""
13,Minute,Time,MIN,0.01666667,""
14,Second,Time,SEC,0.00027778,""
15,Week,Time,WK,168.0,""
16,Square Foot,Area,SF,1.0,""
17,Square Inch,Area,SI,0.00694444,""
18,Square Yard,Area,SY,9.0,""
19,Square Mile,Area,SMI,27878400.0,""
20,Square Centimeter,Area,SCM,0.00107639,""
21,Square Meter,Area,SM,10.76391042,""
22,Square Kilometer,Area,SKM,10763910.42,""
23,Hectare,Area,HTR,107639.1042,""
24,Acre,Area,AC,43500.0,""
25,Foot,Distance,FT,0.00018939,""
26,Inch,Distance,IN,1.578e-05,""
27,Yard,Distance,YD,0.00056818,""
28,Mile,Distance,MI,1.0,""
29,Meter,Distance,M,0.00062137,""
30,Centimeter,Distance,CM,6.21e-06,""
31,Kilometer,Distance,KM,0.62137119,""
32,Days of Supply,DaysOfSupply,DOS,1.0,""
33,Shipments,Shipment,SHIPMENT,1.0,""
34,Process Lots,ProcessLot,PROCESSLOT,1.0,""
